Date,Open,High,Low,Close,Volume,RT
7/1/99,57.815,58.345,56.815,58.015,3411300,1.24
7/2/99,58.0,58.815,58.0,58.75,1651000,1.27
7/6/99,59.065,59.655,58.065,58.375,4397400,1.17
7/7/99,58.345,58.72,57.94,58.47,5260000,1.18
7/8/99,58.47,59.49,58.19,59.25,5612500,1.22
7/9/99,59.47,59.905,59.03,59.845,2095600,1.26
7/12/99,60.065,60.375,59.19,59.53,3908100,1.22
7/13/99,59.25,59.47,58.78,59.25,3115000,1.21
7/14/99,59.845,60.375,59.0,60.26,3454700,1.26
7/15/99,60.47,60.815,60.135,60.815,3269900,1.28
7/16/99,60.845,61.72,60.82,61.375,2456900,1.3
7/19/99,61.625,61.625,60.51,60.75,3416500,1.24
7/20/99,60.015,60.095,58.25,58.405,7418700,1.11
7/21/99,58.53,59.155,58.065,58.69,5490200,1.12
7/22/99,58.69,58.69,57.03,57.195,7574200,1.04
7/23/99,57.625,57.865,56.69,57.28,6057500,1.05
7/26/99,56.5,57.125,55.78,55.875,5360000,1.01
7/27/99,57.0,57.875,56.515,57.0,6866400,1.09
7/28/99,57.69,58.44,56.945,58.115,5080900,1.14
7/29/99,57.03,57.5,56.25,56.875,6516900,1.07
7/30/99,57.125,57.75,56.51,56.595,5473700,1.05
8/2/99,56.69,57.815,56.22,56.44,4821200,1.05
8/3/99,57.205,57.22,55.25,56.07,6502500,1.03
8/4/99,56.065,56.49,55.01,55.055,6613800,0.97
8/5/99,55.065,55.93,53.75,55.93,9347600,1.02
8/6/99,55.53,56.565,54.94,55.33,6196100,0.99
8/9/99,55.53,55.69,54.51,54.615,3991700,0.96
8/10/99,54.47,54.865,52.94,54.125,8383600,0.97
8/11/99,55.095,56.0,54.265,55.905,6550700,1.08
8/12/99,56.125,56.5,55.125,55.25,6357500,1.04
8/13/99,56.405,57.72,56.315,57.655,7171300,1.18
8/16/99,57.625,58.315,57.25,58.115,5735300,1.16
8/17/99,58.625,58.69,57.345,58.405,5704200,1.18
8/18/99,58.125,58.845,57.53,57.75,3517600,1.15
8/19/99,57.22,57.625,56.695,57.065,5078900,1.11
8/20/99,57.125,57.97,56.815,57.97,3460400,1.16
8/23/99,58.5,59.815,58.365,59.815,4826000,1.24
8/24/99,59.375,60.875,59.26,60.22,6945700,1.26
8/25/99,60.595,61.75,59.94,61.5,5676000,1.34
8/26/99,61.5,61.72,60.385,60.475,4876500,1.28
8/27/99,60.475,60.93,59.72,59.875,4817700,1.24
8/30/99,60.125,60.315,58.885,59.03,5070800,1.17
8/31/99,59.44,60.065,58.125,59.69,7295200,1.21
9/1/99,60.065,60.625,59.69,60.115,5376000,1.23
9/2/99,59.0,60.22,58.875,59.905,7291600,1.22
9/3/99,61.625,62.68,61.405,62.655,7097700,1.36
9/7/99,62.53,63.155,62.28,62.375,4504500,1.24
9/8/99,61.61,62.625,61.03,61.53,7151700,1.19
9/9/99,61.565,62.565,61.25,62.405,6338800,1.24
