Date,Open,High,Low,Close,Volume,RT
3/31/10,0.29,0.294,0.288,0.29,155022,1.32
4/1/10,0.293,0.299,0.283,0.289,303645,1.31
4/5/10,0.291,0.299,0.289,0.298,175929,1.43
4/6/10,0.295,0.302,0.293,0.3,152842,1.1
4/7/10,0.299,0.302,0.293,0.298,276625,1.08
4/8/10,0.295,0.301,0.291,0.299,181368,1.1
4/9/10,0.3,0.305,0.298,0.305,151244,1.14
4/12/10,0.306,0.308,0.304,0.306,127080,1.11
4/13/10,0.305,0.311,0.302,0.31,174877,1.14
4/14/10,0.315,0.322,0.314,0.321,159100,1.22
4/15/10,0.321,0.327,0.321,0.326,119089,1.25
4/16/10,0.322,0.325,0.308,0.314,337075,1.13
4/19/10,0.311,0.316,0.302,0.314,293572,1.09
4/20/10,0.318,0.32,0.312,0.318,145106,1.14
4/21/10,0.325,0.327,0.318,0.324,218599,1.2
4/22/10,0.314,0.33,0.309,0.329,319896,1.24
4/23/10,0.329,0.334,0.325,0.333,214444,1.27
4/26/10,0.333,0.336,0.329,0.33,209623,1.19
4/27/10,0.327,0.331,0.307,0.31,347582,0.99
4/28/10,0.315,0.315,0.303,0.311,325610,0.99
4/29/10,0.315,0.328,0.315,0.327,220692,1.16
4/30/10,0.326,0.328,0.307,0.307,230436,0.96
5/3/10,0.311,0.325,0.311,0.32,136935,1.14
5/4/10,0.308,0.308,0.285,0.292,357282,0.85
5/5/10,0.283,0.292,0.277,0.287,360560,0.81
5/6/10,0.281,0.289,0.177,0.259,567207,0.66
5/7/10,0.252,0.261,0.223,0.24,646480,0.56
5/10/10,0.27,0.277,0.269,0.276,492735,1.05
5/11/10,0.268,0.287,0.266,0.276,382883,1.04
5/12/10,0.279,0.291,0.278,0.29,282624,1.23
5/13/10,0.288,0.294,0.276,0.277,272156,1.06
5/14/10,0.27,0.271,0.251,0.26,401024,0.86
5/17/10,0.263,0.267,0.247,0.264,356308,0.86
5/18/10,0.27,0.272,0.249,0.254,495296,0.75
5/19/10,0.249,0.255,0.238,0.247,619162,0.68
5/20/10,0.232,0.234,0.217,0.222,710576,0.5
5/21/10,0.208,0.231,0.206,0.224,610124,0.51
5/24/10,0.225,0.233,0.223,0.226,400009,0.58
5/25/10,0.209,0.225,0.202,0.224,447101,0.57
5/26/10,0.227,0.237,0.215,0.217,541849,0.51
5/27/10,0.231,0.241,0.23,0.241,450010,0.77
5/28/10,0.242,0.243,0.231,0.237,433729,0.73
6/1/10,0.235,0.247,0.229,0.231,525647,0.63
6/2/10,0.234,0.247,0.229,0.247,295381,0.82
6/3/10,0.249,0.255,0.244,0.253,299080,0.9
6/4/10,0.237,0.247,0.225,0.228,640444,0.61
6/7/10,0.23,0.233,0.215,0.215,438802,0.5
6/8/10,0.217,0.218,0.205,0.214,692244,0.49
6/9/10,0.218,0.224,0.207,0.209,593976,0.46
6/10/10,0.216,0.227,0.215,0.226,404703,0.65
6/11/10,0.219,0.233,0.219,0.232,326356,0.72
6/14/10,0.239,0.244,0.232,0.232,592019,0.73
6/15/10,0.236,0.252,0.236,0.249,519708,0.94
6/16/10,0.249,0.258,0.248,0.254,412350,1.01
6/17/10,0.258,0.259,0.25,0.257,424548,1.05
6/18/10,0.258,0.263,0.255,0.258,363445,1.06
6/21/10,0.267,0.268,0.247,0.251,572313,0.92
6/22/10,0.254,0.259,0.244,0.245,467634,0.85
6/23/10,0.246,0.248,0.236,0.242,585145,0.81
6/24/10,0.239,0.241,0.229,0.23,623242,0.67
6/25/10,0.233,0.236,0.225,0.23,462313,0.67
6/28/10,0.23,0.233,0.223,0.228,427435,0.68
6/29/10,0.217,0.217,0.196,0.202,1139709,0.43
6/30/10,0.199,0.205,0.191,0.192,477473,0.37
7/1/10,0.193,0.195,0.179,0.191,656026,0.36
7/2/10,0.191,0.193,0.184,0.189,383797,0.35
7/6/10,0.197,0.2,0.186,0.19,407664,0.4
7/7/10,0.192,0.209,0.192,0.208,418554,0.61
7/8/10,0.213,0.214,0.205,0.212,539380,0.65
7/9/10,0.211,0.219,0.21,0.218,371442,0.73
7/12/10,0.217,0.224,0.216,0.22,256244,0.71
7/13/10,0.226,0.231,0.221,0.228,445619,0.81
7/14/10,0.23,0.235,0.227,0.232,280947,0.86
7/15/10,0.231,0.234,0.223,0.232,293918,0.87
7/16/10,0.23,0.231,0.213,0.214,472281,0.62
7/19/10,0.215,0.22,0.21,0.218,321347,0.69
7/20/10,0.208,0.226,0.206,0.225,332724,0.81
7/21/10,0.234,0.234,0.216,0.217,449106,0.71
7/22/10,0.226,0.237,0.226,0.232,329268,0.91
7/23/10,0.229,0.238,0.228,0.238,361196,0.99
7/26/10,0.239,0.244,0.236,0.243,262336,1.0
7/27/10,0.247,0.248,0.24,0.243,311700,1.19
7/28/10,0.243,0.246,0.235,0.238,201964,1.11
7/29/10,0.242,0.243,0.225,0.233,397705,1.03
7/30/10,0.227,0.238,0.223,0.234,337839,1.05
8/2/10,0.243,0.249,0.24,0.247,234724,1.24
8/3/10,0.246,0.247,0.241,0.244,166614,1.27
8/4/10,0.248,0.252,0.244,0.251,210554,1.38
8/5/10,0.248,0.251,0.245,0.25,173050,1.36
8/6/10,0.241,0.25,0.237,0.249,397142,1.34
8/9/10,0.252,0.255,0.249,0.253,222949,1.37
8/10/10,0.247,0.251,0.241,0.248,411424,1.4
8/11/10,0.235,0.235,0.224,0.227,400895,1.08
8/12/10,0.214,0.224,0.212,0.221,379973,0.99
8/13/10,0.219,0.222,0.217,0.217,150814,0.93
8/16/10,0.213,0.222,0.211,0.218,248473,1.03
8/17/10,0.223,0.232,0.221,0.226,312317,1.17
8/18/10,0.225,0.233,0.222,0.228,185227,1.2
8/19/10,0.225,0.227,0.214,0.22,266383,1.06
8/20/10,0.217,0.221,0.214,0.219,230674,1.05
8/23/10,0.224,0.225,0.213,0.213,281738,0.96
8/24/10,0.206,0.207,0.198,0.201,377025,0.78
8/25/10,0.197,0.209,0.196,0.207,375335,0.87
8/26/10,0.209,0.21,0.199,0.2,346052,0.77
8/27/10,0.203,0.207,0.191,0.207,501200,0.86
8/30/10,0.203,0.209,0.2,0.2,273592,0.79
8/31/10,0.197,0.203,0.194,0.199,407387,0.77
9/1/10,0.207,0.218,0.206,0.216,337518,1.02
9/2/10,0.217,0.223,0.215,0.223,141360,1.14
9/3/10,0.23,0.234,0.227,0.234,351685,1.33
9/7/10,0.231,0.234,0.228,0.229,253506,1.14
9/8/10,0.231,0.24,0.231,0.237,295841,1.27
9/9/10,0.244,0.244,0.239,0.24,235243,1.32
9/10/10,0.241,0.244,0.237,0.242,166427,1.36
9/13/10,0.249,0.255,0.248,0.253,217908,1.52
9/14/10,0.252,0.26,0.25,0.256,220640,1.59
9/15/10,0.254,0.262,0.252,0.26,176199,1.63
9/16/10,0.26,0.265,0.258,0.264,243556,1.67
9/17/10,0.27,0.27,0.263,0.267,299000,1.7
9/20/10,0.27,0.282,0.269,0.281,274708,1.78
9/21/10,0.281,0.287,0.277,0.28,452770,1.72
9/22/10,0.277,0.284,0.274,0.279,251038,1.71
9/23/10,0.273,0.286,0.272,0.278,356957,1.7
9/24/10,0.288,0.295,0.286,0.294,329460,1.79
9/27/10,0.295,0.296,0.289,0.29,252599,1.72
9/28/10,0.293,0.293,0.276,0.291,380788,1.67
9/29/10,0.289,0.293,0.285,0.289,166261,1.63
9/30/10,0.293,0.298,0.279,0.285,462157,1.57
10/1/10,0.291,0.293,0.28,0.284,304777,1.56
10/4/10,0.281,0.284,0.27,0.274,322469,1.41
10/5/10,0.284,0.296,0.283,0.294,285807,1.7
10/6/10,0.293,0.295,0.281,0.287,230432,1.59
10/7/10,0.292,0.292,0.283,0.29,205571,1.63
10/8/10,0.29,0.298,0.284,0.295,178459,1.71
10/11/10,0.296,0.3,0.293,0.296,99279,1.67
