Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
10/14/99,19.17,0.88,11.3,48.4,0.23,Y,R,R,0.72,DnDn
10/15/99,18.85,0.85,9.5,53.2,0.18,R,R,R,0.51,DnDn
10/18/99,18.67,0.85,8.2,46.5,0.18,R,Y,Y,0.47,DnDn
10/19/99,18.79,0.86,9.5,45.7,0.21,Y,Y,Y,0.65,DnDn
10/20/99,19.01,0.88,11.0,44.4,0.25,Y,Y,Y,0.85,DnDn
10/21/99,19.02,0.87,11.4,45.8,0.25,Y,R,Y,0.77,DnDn
10/22/99,19.22,0.9,13.8,42.8,0.32,Y,Y,Y,0.98,UpDn
10/25/99,19.18,0.9,11.6,42.1,0.28,Y,Y,Y,0.94,UpDn
10/26/99,19.13,0.9,12.2,42.7,0.29,Y,Y,Y,0.88,UpDn
10/27/99,19.15,0.9,12.9,43.0,0.3,G,Y,Y,0.85,UpDn
10/28/99,19.46,0.93,16.0,40.4,0.4,G,Y,Y,1.06,UpUp
10/29/99,19.72,0.95,18.6,38.7,0.48,G,Y,Y,1.08,UpUp
11/1/99,19.78,0.94,16.0,36.4,0.44,G,Y,Y,1.03,UpUp
11/2/99,19.83,0.96,17.5,36.4,0.48,G,Y,Y,1.06,UpUp
11/3/99,20.03,0.98,19.8,34.8,0.57,G,Y,Y,1.19,UpUp
11/4/99,20.13,0.99,20.3,34.3,0.59,G,Y,Y,1.13,UpUp
11/5/99,20.27,1.0,22.1,34.4,0.64,G,Y,Y,1.11,UpUp
11/8/99,20.42,0.99,20.5,30.6,0.67,G,Y,Y,1.15,UpUp
11/9/99,20.41,0.99,20.4,30.8,0.66,Y,Y,Y,1.12,UpUp
11/10/99,20.54,1.0,21.2,30.7,0.69,G,Y,Y,1.17,UpUp
11/11/99,20.58,1.01,21.8,30.7,0.71,G,G,Y,1.22,UpUp
11/12/99,20.73,1.02,23.2,29.9,0.78,G,G,Y,1.27,UpUp
11/15/99,20.83,1.03,23.8,26.5,0.9,G,G,Y,1.35,UpUp
11/16/99,21.08,1.05,25.2,26.1,0.97,G,G,Y,1.48,UpUp
11/17/99,21.02,1.04,25.2,26.9,0.94,Y,Y,Y,1.34,UpUp
11/18/99,21.24,1.06,26.7,26.3,1.02,G,G,G,1.49,C/Up
11/19/99,21.23,1.06,25.9,26.9,0.96,Y,Y,Y,1.37,UpUp
11/22/99,21.21,1.04,22.9,26.5,0.86,Y,Y,R,1.42,UpUp
11/23/99,20.97,1.01,21.5,28.7,0.75,Y,Y,R,1.21,DnUp
11/24/99,21.08,1.02,21.6,28.4,0.76,G,Y,Y,1.32,UpUp
11/26/99,21.25,1.04,23.0,27.6,0.83,G,Y,Y,1.37,UpUp
11/29/99,21.17,1.03,22.4,25.6,0.88,R,Y,Y,1.34,DnUp
11/30/99,20.98,1.02,22.4,26.0,0.86,Y,Y,Y,1.31,UpUp
12/1/99,21.01,1.02,22.7,26.6,0.85,Y,Y,Y,1.33,DnUp
12/2/99,21.28,1.04,24.0,26.6,0.9,G,G,Y,1.47,UpUp
12/3/99,21.51,1.05,25.3,27.0,0.94,G,G,Y,1.5,UpUp
12/6/99,21.58,1.04,23.6,24.8,0.95,Y,Y,Y,1.5,UpUp
12/7/99,21.67,1.03,23.3,25.8,0.9,G,Y,Y,1.52,UpUp
12/8/99,21.76,1.04,23.4,27.3,0.86,G,G,Y,1.52,UpUp
12/9/99,21.73,1.03,23.3,29.1,0.8,Y,Y,R,1.39,UpUp
12/10/99,21.83,1.04,24.2,29.0,0.83,G,Y,Y,1.42,UpUp
12/13/99,21.88,1.04,23.4,24.9,0.94,G,Y,Y,1.47,UpUp
12/14/99,21.55,1.01,22.5,26.6,0.85,Y,Y,R,1.26,DnUp
12/15/99,21.5,1.01,22.3,27.0,0.83,Y,Y,R,1.27,DnUp
12/16/99,21.69,1.02,22.9,27.0,0.85,Y,Y,Y,1.37,DnUp
12/17/99,21.77,1.02,23.3,27.2,0.86,Y,Y,Y,1.35,DnUp
12/20/99,21.81,1.01,21.9,24.9,0.88,Y,Y,Y,1.2,DnUp
12/21/99,22.12,1.02,22.5,25.5,0.88,G,G,Y,1.41,UpUp
12/22/99,22.23,1.02,22.7,26.1,0.87,G,Y,Y,1.39,UpUp
12/23/99,22.42,1.04,24.5,24.9,0.98,G,G,Y,1.46,UpUp
12/27/99,22.39,1.02,23.0,23.4,0.98,Y,Y,Y,1.36,UpUp
12/28/99,22.5,1.03,23.9,23.3,1.03,G,G,G,1.38,UpUp
